XYDATA McStas simulated data for BEER at ESS on duplex sample
  ...
  ...
  ...
INTER   1.0   1.0   0  0
TEMP  300.0
   4424.472        1        1
   4426.344        1        1
   4428.216        1        1
   4430.088        1        1
   4431.960        1        1
   4433.832        1        1
   4435.704        1        1
   4437.576        1        1
   4439.448        1        1
   4441.320        1        1
   4443.192        1        1
   4445.064        1        1
   4446.936        1        1
   4448.808        1        1
   4450.680        1        1
   4452.552        1        1
   4454.424        1        1
   4456.296        1        1
   4458.168        1        1
   4460.040        1        1
   4461.912        1        1
   4463.784        1        1
   4465.656        1        1
   4467.528        1        1
   4469.400        1        1
   4471.272        1        1
   4473.144        1        1
   4475.016        1        1
   4476.888        1        1
   4478.760        1        1
   4480.632        1        1
   4482.504        1        1
   4484.376        1        1
   4486.248        1        1
   4488.120        1        1
   4489.992        1        1
   4491.864        1        1
   4493.736        1        1
   4495.608        1        1
   4497.480        1        1
   4499.352        1        1
   4501.224        1        1
   4503.096        1        1
   4504.968        1        1
   4506.840        1        1
   4508.712        2        2
   4510.584        1        1
   4512.456       14        7
   4514.328       18        8
   4516.200       30       10
   4518.072       44       11
   4519.944       79       16
   4521.816       88       15
   4523.688      107       18
   4525.560      117       18
   4527.432      148       20
   4529.304      141       19
   4531.176       99       16
   4533.048       77       14
   4534.920       66       14
   4536.792       25        7
   4538.664       14        5
   4540.536        9        4
   4542.408        1        1
   4544.280        3        3
   4546.152        1        1
   4548.024        1        1
   4549.896        1        1
   4551.768        1        1
   4553.640        1        1
   4555.512        1        1
   4557.384        1        1
   4559.256        1        1
   4561.128        1        1
   4563.000        1        1
   4564.872        1        1
   4566.744        1        1
   4568.616        1        1
   4570.488        1        1
   4572.360        1        1
   4574.232        1        1
   4576.104        1        1
   4577.976        1        1
   4579.848        1        1
   4581.720        1        1
   4583.592        1        1
   4585.464        1        1
   4587.336        1        1
   4589.208        1        1
   4591.080        1        1
   4592.952        1        1
   4594.824        1        1
   4596.696        1        1
   4598.568        1        1
   4600.440        1        1
   4602.312        1        1
   4604.184        1        1
   4606.056        1        1
   4607.928        1        1
   4609.800        1        1
   4611.672        1        1
   4613.544        1        1
   4615.416        1        1
   4617.288        1        1
   4619.160        1        1
   4621.032        1        1
   4622.904        1        1
   4624.776        1        1
   4626.648        1        1
   4628.520        1        1
   4630.392        1        1
   4632.264        1        1
   4634.136        1        1
   4636.008        1        1
   4637.880        1        1
   4639.752        1        1
   4641.624        1        1
   4643.496        1        1
   4645.368        1        1
   4647.240        1        1
   4649.112        1        1
   4650.984        1        1
   4652.856        1        1
   4654.728        1        1
   4656.600        1        1
   4658.472        1        1
   4660.344        1        1
   4662.216        1        1
   4664.088        1        1
   4665.960        1        1
   4667.832        1        1
   4669.704        1        1
   4671.576        1        1
   4673.448        1        1
   4675.320        1        1
   4677.192        1        1
   4679.064        1        1
   4680.936        1        1
   4682.808        1        1
   4684.680        1        1
   4686.552        1        1
   4688.424        1        1
   4690.296        1        1
   4692.168        1        1
   4694.040        1        1
   4695.912        1        1
   4697.784        1        1
   4699.656        1        1
   4701.528        1        1
   4703.400        1        1
   4705.272        1        1
   4707.144        1        1
   4709.016        1        1
   4710.888        1        1
   4712.760        1        1
   4714.632        1        1
   4716.504        1        1
   4718.376        1        1
   4720.248        1        1
   4722.120        1        1
   4723.992        1        1
   4725.864        1        1
   4727.736        1        1
   4729.608        1        1
   4731.480        1        1
   4733.352        1        1
   4735.224        1        1
   4737.096        1        1
   4738.968        1        1
   4740.840        1        1
   4742.712        1        1
   4744.584        1        1
   4746.456        1        1
   4748.328        1        1
   4750.200        1        1
   4752.072        1        1
   4753.944        1        1
   4755.816        1        1
   4757.688        1        1
   4759.560        1        1
   4761.432        1        1
   4763.304        1        1
   4765.176        1        1
   4767.048        1        1
   4768.920        1        1
   4770.792        1        1
   4772.664        1        1
   4774.536        1        1
   4776.408        1        1
   4778.280        1        1
   4780.152        1        1
   4782.024        1        1
   4783.896        1        1
   4785.768        1        1
   4787.640        1        1
   4789.512        1        1
   4791.384        1        1
   4793.256        1        1
   4795.128        1        1
   4797.000        1        1
   4798.872        1        1
